gray,time_s,power_raw,reference_power_interpolated,power_corrected,peak,saturated,background
23,130.05029730000024,360711.0,6382796.317825463,0.05651300496502286,17,0,0.0
22,130.5754896999988,428476.0,6380965.7799746655,0.06714908287781182,20,0,0.0
21,131.10131009999895,500018.0,6379133.053254087,0.07838337840358003,23,0,0.0
20,131.62250379999932,570049.0,6377316.4527178835,0.08938697087190281,25,0,0.0
19,132.14575049999985,641110.0,6375492.6965293735,0.1005585027724996,28,0,0.0
18,132.67107789999864,717175.0,6373661.688141283,0.1125216610311091,32,0,0.0
17,133.19354459999886,782985.0,6371840.650612686,0.12288207488753064,34,0,0.0
16,133.71966090000024,844294.0,6370006.892544067,0.13254208578458915,38,0,0.0
15,134.76874279999902,908671.0,6366251.308590622,0.14273250551291292,39,0,0.0
14,135.29351560000032,946656.0,6364322.670286947,0.1487441867804164,40,0,0.0
13,135.81921220000004,1012809.0,6362390.636845297,0.15918686195322757,41,0,0.0
12,136.34201699999903,1049274.0,6360469.2313101385,0.16496801758505938,44,0,0.0
11,136.87077399999907,1089990.0,6358525.950325428,0.17142180570077167,46,0,0.0
10,137.40126319999945,1145006.0,6356576.3031813605,0.18012935665177865,47,0,0.0
9,137.92503020000004,1164530.0,6354651.361381024,0.18325631632242978,48,0,0.0
8,138.44956189999903,1218385.0,6352723.609165004,0.1917893922289094,48,0,0.0
7,138.9689682999997,1248658.0,6350814.69338619,0.19661382992332727,51,0,0.0
6,139.48959229999855,1277558.0,6348901.302699386,0.20122505282241762,52,0,0.0
5,140.00811590000012,1334786.0,6346995.631375873,0.21030201965187914,56,0,0.0
4,140.5323155999995,1360214.0,6345069.099322018,0.2143733943173828,54,0,0.0
3,141.05631279999943,1419642.0,6343143.311493579,0.22380733498920838,57,0,0.0
2,141.57937649999985,1458454.0,6341220.954452437,0.22999577060565257,58,0,0.0
1,142.10011229999873,1484695.0,6339307.152879699,0.2342046164028448,60,0,0.0
0,142.62419469999986,1514141.0,6337381.0519253025,0.23892219634481385,61,0,0.0
